display_name,username,tweet_text,profile_img,post_url,post_date,reply_count,retweet_count,like_count
,@lisamanoba,"@mandiricare halo, tolong cek dm ya",https://pbs.twimg.com/profile_images/1638185739375747072/goOs1Gvl_normal.jpg,https://twitter.com/lisamanoba/status/1752837990114873608,2024-01-31T23:35:17.000Z,7,1,1
Mandiri Care,@mandiricare,@CRUSIYEL atau melalui Whatsapp Official Bank Mandiri 0811-84-14000 bercentang hijau. Semoga prosesnya berjalan dengan lancar. Tks~Bely (4),https://pbs.twimg.com/profile_images/1501039949264605187/__bKFZ_p_normal.jpg,https://twitter.com/mandiricare/status/1752830853875683397,2024-01-31T23:06:56.000Z,0,0,0
Mandiri Care,@mandiricare,@CRUSIYEL Pastikan Sahabat hanya berinteraksi dengan akun resmi Bank Mandiri bercentang emas (verified) di sebelah nama akun dan bukan dalam foto profil (3),https://pbs.twimg.com/profile_images/1501039949264605187/__bKFZ_p_normal.jpg,https://twitter.com/mandiricare/status/1752830849106714968,2024-01-31T23:06:55.000Z,1,0,0
Mandiri Care,@mandiricare,@CRUSIYEL Mohon berhati-hati dan tidak memberikan data rahasia kepada pihak manapun yang mengatasnamakan Bank Mandiri. (2),https://pbs.twimg.com/profile_images/1501039949264605187/__bKFZ_p_normal.jpg,https://twitter.com/mandiricare/status/1752830811932590080,2024-01-31T23:06:46.000Z,1,0,0
Mandiri Care,@mandiricare,@albertryanputra Pastikan Sahabat berinteraksi dengan akun resmi Bank Mandiri yang terdapat centang emas (verified) yang hanya terletak di sebelah kanan nama akun dan bukan dalam gambar profile picture. Tks~Arby (end),https://pbs.twimg.com/profile_images/1501039949264605187/__bKFZ_p_normal.jpg,https://twitter.com/mandiricare/status/1752761425062461787,2024-01-31T18:31:03.000Z,0,0,0
Mandiri Care,@mandiricare,@albertryanputra Mohon berhati-hati dan tidak memberikan data rahasia kepada pihak manapun yang mengatasnamakan Bank Mandiri. (2),https://pbs.twimg.com/profile_images/1501039949264605187/__bKFZ_p_normal.jpg,https://twitter.com/mandiricare/status/1752761378342076421,2024-01-31T18:30:51.000Z,1,0,0
Mandiri Care,@mandiricare,@twojword  Pastikan Sahabat hanya berinteraksi dengan akun resmi Bank Mandiri bercentang emas (verified) di sebelah nama akun dan bukan dalam foto profil atau melalui whatsapp official Bank Mandiri 0811-84-14000 bercentang hijau. Tks~Rezka (end),https://pbs.twimg.com/profile_images/1501039949264605187/__bKFZ_p_normal.jpg,https://twitter.com/mandiricare/status/1752726250953769348,2024-01-31T16:11:16.000Z,0,0,0
π,@kintsyugi,@mandiricare cek dm yaa,https://pbs.twimg.com/profile_images/1692739259663613952/-zi916JX_normal.jpg,https://twitter.com/kintsyugi/status/1752726069634015605,2024-01-31T16:10:33.000Z,3,2,0
Mandiri Care,@mandiricare,"@keshiadelrey  Bank Mandiri tidak pernah meminta data perbankan nasabah via social media seperti username, password, kode OTP, PIN ATM & Livin' by Mandiri dengan alasan apapun (menang hadiah, verifikasi data, dsb). Semoga permasalahan Sahabat cepat teratasi. Tks~Tommy (End)",https://pbs.twimg.com/profile_images/1501039949264605187/__bKFZ_p_normal.jpg,https://twitter.com/mandiricare/status/1752726029393973581,2024-01-31T16:10:24.000Z,0,0,0
Mynd Maori Vtuber-ID,@Mynd_Maori,Yg jawab bot yahahah,https://pbs.twimg.com/profile_images/1738011949487779840/0tem7fCW_normal.jpg,https://twitter.com/Mynd_Maori/status/1752715502437462380,2024-01-31T15:28:34.000Z,0,0,1
