display_name,username,tweet_text,profile_img,post_url,post_date,reply_count,retweet_count,like_count
. INFO MANDIRI,@Halco1983,Hai kakak mohon info ke wa ya agar kendala nya kamu dapat kami bantu proses langsung :-) untuk layanan Mandiri hanya melalui wa http://lnk.ec/lnfo.mandiriTkz -layla,https://pbs.twimg.com/profile_images/1757718488377135104/-Pb6PJth_normal.jpg,https://twitter.com/Halco1983/status/1758171897924370475,2024-02-15T16:50:20.000Z,0,0,0
. INFO MANDIRI,@Halco1983,"Untuk tindak lanjut. Boleh infoin detail kendalanya ke WhatsApp ya kak,untuk respon hanya melalui WhatsApp http://lnk.ec/lnfo.mandiriAdm-layla",https://pbs.twimg.com/profile_images/1757718488377135104/-Pb6PJth_normal.jpg,https://twitter.com/Halco1983/status/1758171918979727860,2024-02-15T16:50:25.000Z,0,0,0
MANDIRI CALL,@oy86v50aym0jkn2,"Untuk cek kendala kamu silakan dikonfirmasi melalui WhatsApp kami, untuk penanganan lebih lanjut https://wa.link/jki7hv ID CS ADM~ Saidi",https://pbs.twimg.com/profile_images/1757913608242237440/9o2Bdp6n_normal.jpg,https://twitter.com/oy86v50aym0jkn2/status/1758177281728790969,2024-02-15T17:11:43.000Z,0,0,0
MANDIRI CALL,@oy86v50aym0jkn2,"Untuk cek kendala kamu silakan dikonfirmasi melalui WhatsApp kami, untuk penanganan lebih lanjut https://wa.link/jki7hv ID CS ADM~ Saidi",https://pbs.twimg.com/profile_images/1757913608242237440/9o2Bdp6n_normal.jpg,https://twitter.com/oy86v50aym0jkn2/status/1758146588831367171,2024-02-15T15:09:46.000Z,0,0,0
Halo BCA,@DAWSONKYOMI,Hai kakak mohon info ke wa ya agar kendala nya kmu dapat kmi bantu proses langsung :-) untuk layanan hanya melalui respon Wa http://wa.me/14482059711                Tks^Adm~Billy,https://pbs.twimg.com/profile_images/1758143196750839808/jz9ZWih6_normal.jpg,https://twitter.com/DAWSONKYOMI/status/1758139349475221866,2024-02-15T14:41:00.000Z,0,0,0
Halo BCA,@DAWSONKYOMI,Halo kak untuk cek kendala kamu silakan di kirim melalui Wa ini -:) untuk respon halnya melalui Wa http://wa.me/14482059711          Tks~Billy,https://pbs.twimg.com/profile_images/1758143196750839808/jz9ZWih6_normal.jpg,https://twitter.com/DAWSONKYOMI/status/1758139331859071040,2024-02-15T14:40:56.000Z,0,0,0
. INFO MANDIRI,@Halco1983,Hai kakak mohon info ke wa ya agar kendala nya kamu dapat kami bantu proses langsung :-) untuk layanan Mandiri hanya melalui wa http://lnk.ec/lnfo.mandiriTkz -layla,https://pbs.twimg.com/profile_images/1757718488377135104/-Pb6PJth_normal.jpg,https://twitter.com/Halco1983/status/1758127795388182771,2024-02-15T13:55:05.000Z,0,0,0
. INFO MANDIRI,@Halco1983,"Untuk tindak lanjut. Boleh infoin detail kendalanya ke WhatsApp ya kak,untuk respon hanya melalui WhatsApp http://lnk.ec/lnfo.mandiriAdm-layla",https://pbs.twimg.com/profile_images/1757718488377135104/-Pb6PJth_normal.jpg,https://twitter.com/Halco1983/status/1758127816498090345,2024-02-15T13:55:10.000Z,0,0,0
Halo BCA,@DAWSONKYOMI,Hai kakak mohon info ke wa ya agar kendala nya kmu dapat kmi bantu proses langsung :-) untuk layanan hanya melalui respon Wa http://wa.me/14482059711                Tks^Adm~Billy,https://pbs.twimg.com/profile_images/1758143196750839808/jz9ZWih6_normal.jpg,https://twitter.com/DAWSONKYOMI/status/1758129840803430541,2024-02-15T14:03:13.000Z,0,0,0
Mandiri Call,@swagie2326,"Untuk cek kendala kamu silakan dikonfirmasi melalui WhatsApp kami, untuk penanganan lebih lanjut http://wa.link/yhuqdt ID CS ADM~ Said",https://pbs.twimg.com/profile_images/1757907530804793344/-TXBm3wV_normal.jpg,https://twitter.com/swagie2326/status/1758129152912490570,2024-02-15T14:00:29.000Z,0,0,0
Mandiri Call,@swagie2326,mohon kesediaan bapak/ibu untuk menghubungi layanan WhatsApp kami untuk pengecekan lebih lanjut http://wa.link/yhuqdt Tkz:-) Said,https://pbs.twimg.com/profile_images/1757907530804793344/-TXBm3wV_normal.jpg,https://twitter.com/swagie2326/status/1758129124579926270,2024-02-15T14:00:22.000Z,0,0,0
Halo BCA,@DAWSONKYOMI,Halo kak untuk cek kendala kamu silakan di kirim melalui Wa ini -:) untuk respon halnya melalui Wa http://wa.me/14482059711          Tks~Billy,https://pbs.twimg.com/profile_images/1758143196750839808/jz9ZWih6_normal.jpg,https://twitter.com/DAWSONKYOMI/status/1758129821748793414,2024-02-15T14:03:08.000Z,0,0,0
MANDIRI CALL,@oy86v50aym0jkn2,"Untuk cek kendala kamu silakan dikonfirmasi melalui WhatsApp kami, untuk penanganan lebih lanjut https://wa.link/jki7hv ID CS ADM~ Saidi",https://pbs.twimg.com/profile_images/1757913608242237440/9o2Bdp6n_normal.jpg,https://twitter.com/oy86v50aym0jkn2/status/1758146723325837791,2024-02-15T15:10:18.000Z,0,0,0
. INFO MANDIRI,@Halco1983,Hai kakak mohon info ke wa ya agar kendala nya kamu dapat kami bantu proses langsung :-) untuk layanan Mandiri hanya melalui wa http://lnk.ec/lnfo.mandiriTkz -layla,https://pbs.twimg.com/profile_images/1757718488377135104/-Pb6PJth_normal.jpg,https://twitter.com/Halco1983/status/1758124075904536810,2024-02-15T13:40:18.000Z,0,0,0
. INFO MANDIRI,@Halco1983,"Untuk tindak lanjut. Boleh infoin detail kendalanya ke WhatsApp ya kak,untuk respon hanya melalui WhatsApp http://lnk.ec/lnfo.mandiriAdm-layla",https://pbs.twimg.com/profile_images/1757718488377135104/-Pb6PJth_normal.jpg,https://twitter.com/Halco1983/status/1758124095663976468,2024-02-15T13:40:23.000Z,0,0,0
INFO MANDIRI,@Yungfresh3000,Halo kak untuk cek kendala kamu silakan di kirim melalui Wa ini -:) untuk respon halnya melalui http://wa.link/ch7r9c       Tks~Adisti(3),https://pbs.twimg.com/profile_images/1757935845703860224/wbtoJGQW_normal.jpg,https://twitter.com/Yungfresh3000/status/1758124129088319560,2024-02-15T13:40:31.000Z,0,0,0
INFO MANDIRI,@Yungfresh3000,Hai kakak mohon info ke wa ya agar kendala nya kmu dapat kmi bantu proses langsung :-) untuk layanan hanya melalui respon Wa https://wa.link/ch7r9c       Tks~Adisti(3),https://pbs.twimg.com/profile_images/1757935845703860224/wbtoJGQW_normal.jpg,https://twitter.com/Yungfresh3000/status/1758124086772072917,2024-02-15T13:40:21.000Z,0,0,0
Mandiri Call,@swagie2326,"Untuk cek kendala kamu silakan dikonfirmasi melalui WhatsApp kami, untuk penanganan lebih lanjut http://wa.link/yhuqdt ID CS ADM~ Said",https://pbs.twimg.com/profile_images/1757907530804793344/-TXBm3wV_normal.jpg,https://twitter.com/swagie2326/status/1758125170685010384,2024-02-15T13:44:39.000Z,0,0,0
Mandiri Call,@swagie2326,mohon kesediaan bapak/ibu untuk menghubungi layanan WhatsApp kami untuk pengecekan lebih lanjut http://wa.link/yhuqdt Tkz:-) Said,https://pbs.twimg.com/profile_images/1757907530804793344/-TXBm3wV_normal.jpg,https://twitter.com/swagie2326/status/1758125136925077625,2024-02-15T13:44:31.000Z,0,0,0
Halo BCA,@DAWSONKYOMI,Halo kak untuk cek kendala kamu silakan di kirim melalui Wa ini -:) untuk respon halnya melalui Wa http://wa.me/14482059711          Tks~Billy,https://pbs.twimg.com/profile_images/1758143196750839808/jz9ZWih6_normal.jpg,https://twitter.com/DAWSONKYOMI/status/1758124565795152332,2024-02-15T13:42:15.000Z,0,0,0
MANDIRI CALL,@oy86v50aym0jkn2,"Untuk cek kendala kamu silakan dikonfirmasi melalui WhatsApp kami, untuk penanganan lebih lanjut https://wa.link/jki7hv ID CS ADM~ Saidi",https://pbs.twimg.com/profile_images/1757913608242237440/9o2Bdp6n_normal.jpg,https://twitter.com/oy86v50aym0jkn2/status/1758146764790779925,2024-02-15T15:10:28.000Z,0,0,0
Halo BCA,@DAWSONKYOMI,Hai kakak mohon info ke wa ya agar kendala nya kmu dapat kmi bantu proses langsung :-) untuk layanan hanya melalui respon Wa http://wa.me/14482059711                Tks^Adm~Billy,https://pbs.twimg.com/profile_images/1758143196750839808/jz9ZWih6_normal.jpg,https://twitter.com/DAWSONKYOMI/status/1758124584409436464,2024-02-15T13:42:19.000Z,0,0,0
. INFO MANDIRI,@Halco1983,"Untuk tindak lanjut. Boleh infoin detail kendalanya ke WhatsApp ya kak,untuk respon hanya melalui WhatsApp http://lnk.ec/lnfo.mandiriAdm-layla",https://pbs.twimg.com/profile_images/1757718488377135104/-Pb6PJth_normal.jpg,https://twitter.com/Halco1983/status/1758124153222414779,2024-02-15T13:40:37.000Z,0,0,0
. INFO MANDIRI,@Halco1983,Hai kakak mohon info ke wa ya agar kendala nya kamu dapat kami bantu proses langsung :-) untuk layanan Mandiri hanya melalui wa http://lnk.ec/lnfo.mandiriTkz -layla,https://pbs.twimg.com/profile_images/1757718488377135104/-Pb6PJth_normal.jpg,https://twitter.com/Halco1983/status/1758124133412683957,2024-02-15T13:40:32.000Z,0,0,0
Mandiri Call,@swagie2326,mohon kesediaan bapak/ibu untuk menghubungi layanan WhatsApp kami untuk pengecekan lebih lanjut http://wa.link/yhuqdt Tkz:-) Said,https://pbs.twimg.com/profile_images/1757907530804793344/-TXBm3wV_normal.jpg,https://twitter.com/swagie2326/status/1758125209767535052,2024-02-15T13:44:49.000Z,0,0,0
Mandiri Call,@swagie2326,"Untuk cek kendala kamu silakan dikonfirmasi melalui WhatsApp kami, untuk penanganan lebih lanjut http://wa.link/yhuqdt ID CS ADM~ Said",https://pbs.twimg.com/profile_images/1757907530804793344/-TXBm3wV_normal.jpg,https://twitter.com/swagie2326/status/1758125241044549868,2024-02-15T13:44:56.000Z,0,0,0
INFO MANDIRI,@Yungfresh3000,Halo kak untuk cek kendala kamu silakan di kirim melalui Wa ini -:) untuk respon halnya melalui http://wa.link/ch7r9c       Tks~Adisti(3),https://pbs.twimg.com/profile_images/1757935845703860224/wbtoJGQW_normal.jpg,https://twitter.com/Yungfresh3000/status/1758123243318489417,2024-02-15T13:37:00.000Z,0,0,0
INFO MANDIRI,@Yungfresh3000,Hai kakak mohon info ke wa ya agar kendala nya kmu dapat kmi bantu proses langsung :-) untuk layanan hanya melalui respon Wa https://wa.link/ch7r9c       Tks~Adisti(3),https://pbs.twimg.com/profile_images/1757935845703860224/wbtoJGQW_normal.jpg,https://twitter.com/Yungfresh3000/status/1758123193716629802,2024-02-15T13:36:48.000Z,0,0,0
. lNFO MANDlRl,@menboongL,Halo kak untuk cek kendala kamu silakan di kirim melalui Wa ini -:) untuk respon halnya melalui wa https://lnk.ec/lnfo-Mandiri       Tks~Mia,https://pbs.twimg.com/profile_images/1757772736062218240/JATQyGGM_normal.jpg,https://twitter.com/menboongL/status/1758107277767459224,2024-02-15T12:33:33.000Z,0,0,0
