display_name,username,tweet_text,profile_img,post_url,post_date,reply_count,retweet_count,like_count
k,@viciuosly,@mandiricare untuk bi fast masih error ya min?,https://pbs.twimg.com/profile_images/1734617039908868096/hXELBdn3_normal.jpg,,2024-01-29T23:43:27.000Z,6,1,1
Mandiri Care,@mandiricare,"Halo Sahabat @viciuosly, mohon maaf atas ketidaknyamanannya. Mohon informasi lebih lanjut perihal bank tujuan untuk transaksi tsb ya. Tks~Danti",https://pbs.twimg.com/profile_images/1501039949264605187/__bKFZ_p_normal.jpg,https://twitter.com/mandiricare/status/1752134292250276009,2024-01-30T00:59:03.000Z,0,0,0
REHAN QALIB,@rehqab,punya ku aman sih kak,https://pbs.twimg.com/profile_images/1714673416199188480/zF0jGkEn_normal.jpg,https://twitter.com/rehqab/status/1752162235999482117,2024-01-30T02:50:05.000Z,0,0,0
bank mandiri,@909xx7xx96,"Untuk cek kendala kamu silahkan dikonfirmasi melalui WhatsApp kami, untuk penanganan lebih lanjut http://wa.me/12899009856        Tks~Hangga",https://pbs.twimg.com/profile_images/1752145780411088896/3JFrllwA_normal.jpg,https://twitter.com/909xx7xx96/status/1752146221471596900,2024-01-30T01:46:27.000Z,0,0,0
mandiri Call,@wishatmemagella,mohon kesediaan bapak/ibu untuk menghubungi layanan WhatsApp kami untuk pengecekan lebih lanjut http://wa.link/3dlakg Tkz:-) Diana,https://pbs.twimg.com/profile_images/1751961401839800320/iJdGFPli_normal.jpg,https://twitter.com/wishatmemagella/status/1752123118083326278,2024-01-30T00:14:38.000Z,0,0,0
mandiri Call,@wishatmemagella,"Untuk cek kendala kamu silakan dikonfirmasi melalui WhatsApp kami, untuk penanganan lebih lanjut http://wa.link/3dlakg ID CS ADM- Diana",https://pbs.twimg.com/profile_images/1751961401839800320/iJdGFPli_normal.jpg,https://twitter.com/wishatmemagella/status/1752123143576330352,2024-01-30T00:14:44.000Z,0,0,0
bank mandiri,@909xx7xx96,mohon kesediaan bapak/ibu untuk menghubungi layanan WhatsApp kami untuk pengecekan lebih lanjut http://wa.me/12899009856       Tks~Hangga,https://pbs.twimg.com/profile_images/1752145780411088896/3JFrllwA_normal.jpg,https://twitter.com/909xx7xx96/status/1752146251406348414,2024-01-30T01:46:34.000Z,0,0,0
Mandiri Care,@mandiricare,"Sahabat, selalu berhati-hati terhadap kejahatan perbankan bisa terjadi di mana aja dan kapan aja, termasuk pas lagi transaksi di ATM.Yuk simak tips aman pada saat menggunakan ATM!#JagaBaikBaik#kelasmandiri",https://pbs.twimg.com/profile_images/1501039949264605187/__bKFZ_p_normal.jpg,https://twitter.com/mandiricare/status/1750067781557789066,2024-01-24T08:07:28.000Z,21,0,3
Ngeluh Man,@crsvogbrll,Cek dm min,https://pbs.twimg.com/profile_images/1584525569114263552/ciYvAYyG_normal.jpg,,2024-01-29T17:47:00.000Z,5,1,0
Mandiri Care,@mandiricare,"@crsvogbrll  Halo Sahabat @crsvogbrll, mohon maaf atas ketidaknyamanannya. Untuk perihal kendala yg Sahabat alami, sudah kami informasikan melalui DM ya. (1)",https://pbs.twimg.com/profile_images/1501039949264605187/__bKFZ_p_normal.jpg,https://twitter.com/mandiricare/status/1752049926241124629,2024-01-29T19:23:48.000Z,1,0,0
Mandiri Care,@mandiricare,@crsvogbrll  Pastikan Sahabat hanya berinteraksi dengan akun resmi Bank Mandiri bercentang emas (verified) di sebelah nama akun dan bukan dalam foto profil atau melalui whatsapp official Bank Mandiri 0811-84-14000 bercentang hijau. Tks~Rezka (end),https://pbs.twimg.com/profile_images/1501039949264605187/__bKFZ_p_normal.jpg,https://twitter.com/mandiricare/status/1752049940749316527,2024-01-29T19:23:52.000Z,0,0,0
. lNFO MANDlRl,@MyStyleMajh,"Untuk tindak lanjut. boleh infoin detail kendalanya ke wa ya kak, untuk respon hanya melalui WA   https://lnk.ec/lnfo-Mandiri  Tks-Mia",https://pbs.twimg.com/profile_images/1751983772659236865/tYZ4GQbR_normal.jpg,https://twitter.com/MyStyleMajh/status/1752028669651062839,2024-01-29T17:59:20.000Z,0,0,0
. lNFO MANDlRl,@MyStyleMajh,Halo kak untuk cek kendala kamu silakan di kirim melalui Wa ini -:) untuk respon halnya melalui wa https://lnk.ec/lnfo-Mandiri       Tks~Mia,https://pbs.twimg.com/profile_images/1751983772659236865/tYZ4GQbR_normal.jpg,https://twitter.com/MyStyleMajh/status/1752028718250283370,2024-01-29T17:59:32.000Z,0,0,0
.INFO MANDIRI,@Mohamed69620442,Hai kakak mohon info ke wa ya agar kendala nya kamu dapat kami bantu proses langsung :-) untuk layanan Mandiri hanya melalui wa http://lnk.ec/lnfo.mandiriTkz -layla,https://pbs.twimg.com/profile_images/1750815708689367041/dUwn-R6u_normal.jpg,https://twitter.com/Mohamed69620442/status/1752028307267440685,2024-01-29T17:57:54.000Z,0,0,0
.INFO MANDIRI,@Mohamed69620442,"Untuk tindak lanjut. Boleh infoin detail kendalanya ke WhatsApp ya kak,untuk respon hanya melalui WhatsApp http://lnk.ec/lnfo.mandiriAdm-layla",https://pbs.twimg.com/profile_images/1750815708689367041/dUwn-R6u_normal.jpg,https://twitter.com/Mohamed69620442/status/1752028321674912086,2024-01-29T17:57:57.000Z,0,0,0
MO!,@kamusamadiaaku,@mandiricare EH MANDIRI INI KNAPA BJIR! GUE TOP-Up lu punya Emoney! Dari tadi siang ga masuk2 heran.. emang boleh selama itu? Apa nunggu monyet berubah jadi kingkong baru masuk tuh Saldo? Ini juga @gopayindonesia @tokopedia sama aja bjir! Nyebelin bgt,https://pbs.twimg.com/profile_images/1716923785960738816/TCy4WPKt_normal.jpg,https://twitter.com/kamusamadiaaku/status/1751969840934593008,2024-01-29T14:05:34.000Z,7,1,1
Mandiri Care,@mandiricare,"@kamusamadiaaku Mohon maaf atas ketidaknyamanannya Sahabat @kamusamadiaaku, Setelah melakukan top up e-money, mohon update saldo melalui aplikasi Livin' by Mandiri yg berfitur NFC, mandiri ATM yg memiliki e-money reader atau mandiri EDC. Semoga berhasil ya. Tks~Amar",https://pbs.twimg.com/profile_images/1501039949264605187/__bKFZ_p_normal.jpg,https://twitter.com/mandiricare/status/1752006209039913211,2024-01-29T16:30:05.000Z,1,0,0
MO!,@kamusamadiaaku,"Semoga berhasil, ini SALDO GOPAY GUE UDAH DITARIK.. belom masuk2 ke E-Toll gue.. kalo masalah masukin saldo E-Toll mah gue paham",https://pbs.twimg.com/profile_images/1716923785960738816/TCy4WPKt_normal.jpg,,2024-01-29T17:38:02.000Z,5,2,0
Mandiri Care,@mandiricare,"@kamusamadiaaku Halo Sahabat @kamusamadiaaku, mohon maaf atas ketidaknyamanannya. Untuk perihal kendala yg Sahabat alami, sudah kami informasikan melalui DM ya. (1)",https://pbs.twimg.com/profile_images/1501039949264605187/__bKFZ_p_normal.jpg,https://twitter.com/mandiricare/status/1752050557035102318,2024-01-29T19:26:18.000Z,1,0,0
Mandiri Care,@mandiricare,@kamusamadiaaku  Pastikan Sahabat hanya berinteraksi dengan akun resmi Bank Mandiri bercentang emas (verified) di sebelah nama akun dan bukan dalam foto profil atau melalui whatsapp official Bank Mandiri 0811-84-14000 bercentang hijau. Tks~Rezka (end),https://pbs.twimg.com/profile_images/1501039949264605187/__bKFZ_p_normal.jpg,https://twitter.com/mandiricare/status/1752050580544254211,2024-01-29T19:26:24.000Z,0,0,0
TokopediaCare,@TokopediaCare,"Hai Toppers, mohon infokan invoice transaksi Kakak melalui DM untuk dibantu pengecekan lebih lanjut. Ditunggu DMnya ya :)",https://pbs.twimg.com/profile_images/1729400239688491008/uxjlfIXQ_normal.jpg,https://twitter.com/TokopediaCare/status/1752027562375544943,2024-01-29T17:54:56.000Z,1,0,0
MO!,@kamusamadiaaku,Udah.. masih belom balik nih saldo gue!,https://pbs.twimg.com/profile_images/1716923785960738816/TCy4WPKt_normal.jpg,https://twitter.com/kamusamadiaaku/status/1752030114731499995,2024-01-29T18:05:05.000Z,1,0,0
G0pay•Ind0nesia,@wincheey,"Halo kak untuk cek kendala kamu silakan di kirim melalui wa ini -:,) untuk respon hanya melalui WAhttp://alvo.chat/3MjnID CS : Alisa,",https://pbs.twimg.com/profile_images/1745707524366749696/tsUZ29B0_normal.jpg,https://twitter.com/wincheey/status/1752025554537353345,2024-01-29T17:46:57.000Z,0,0,0
