display_name,username,tweet_text,profile_img,post_url,post_date,reply_count,retweet_count,like_count
Evil,@glowtwat,@mandiricare Tolong check DM min,https://pbs.twimg.com/profile_images/1336232468324573184/nEuPeUbA_normal.jpg,https://twitter.com/glowtwat/status/1752403196323221752,2024-01-30T18:47:34.000Z,3,0,1
,@saccharidie,"@mandiricare hi admin, tolong cek dm. trims.",https://pbs.twimg.com/profile_images/1747550132554665984/A1IHh6Za_normal.jpg,https://twitter.com/saccharidie/status/1752377588524458159,2024-01-30T17:05:49.000Z,2,2,1
"kim salazar,",@littlecosm0,respon nya lambat,https://pbs.twimg.com/profile_images/1686015067710423041/MtjR5mHH_normal.jpg,https://twitter.com/littlecosm0/status/1752345794496340236,2024-01-30T14:59:29.000Z,6,1,0
merr,@caraameru,sipp terimakasih admin,https://pbs.twimg.com/profile_images/1633386648254943232/EpLAowWK_normal.jpg,https://twitter.com/caraameru/status/1752332352691589172,2024-01-30T14:06:04.000Z,3,0,0
ソピ,@vousmevoyezhx,@mandiricare cek dm ku dongg,https://pbs.twimg.com/profile_images/1748251465733562368/ntXa30e6_normal.jpg,https://twitter.com/vousmevoyezhx/status/1752323445210431582,2024-01-30T13:30:40.000Z,8,2,1
Liora Benuaira,@benuaira,Cek DM min,https://pbs.twimg.com/profile_images/1628214624662487042/05CTLpSg_normal.png,https://twitter.com/benuaira/status/1752322054253056003,2024-01-30T13:25:08.000Z,12,2,2
Teguh Haryono,@haryonoteguh,@mandiricare boleh cek dm,https://pbs.twimg.com/profile_images/1422578463001616387/KvOK6mQP_normal.jpg,https://twitter.com/haryonoteguh/status/1752318266700353836,2024-01-30T13:10:05.000Z,5,1,0
zeezah,@fairythingszz,@mandiricare tolong cek dm,https://pbs.twimg.com/profile_images/1520741315738095621/y0_u6KkR_normal.jpg,https://twitter.com/fairythingszz/status/1752318110009586050,2024-01-30T13:09:28.000Z,7,2,1
Mandiri Care,@mandiricare,"@sartikaara Pastikan hanya berinteraksi dgn akun resmi Bank Mandiri bercentang emas (verified) di sebelah nama akun, bukan dalam foto profil. Semoga sukses selalu ya. Tks~Feri (end)",https://pbs.twimg.com/profile_images/1501039949264605187/__bKFZ_p_normal.jpg,https://twitter.com/mandiricare/status/1752304250393334037,2024-01-30T12:14:24.000Z,0,0,0
Nona Negara,@chrisayunn,"Haloo kak kaya gini ya, saya gak bisa login, apa ada cara lain? Saya sudah ada setoran awal",https://pbs.twimg.com/profile_images/1571173410788737025/zzf_ABlj_normal.jpg,https://twitter.com/chrisayunn/status/1752300222783561803,2024-01-30T11:58:23.000Z,3,0,0
ฅ^•ﻌ•^ฅ,@tsukidayou,"min udah ku baleeess, tolong cek lagi yaa ",https://pbs.twimg.com/profile_images/1743640337107841024/NZG7pzu-_normal.jpg,https://twitter.com/tsukidayou/status/1752299983255241112,2024-01-30T11:57:26.000Z,6,2,1
kudusatset,@kataomiq,"@mandiricare internet banking ku tak kunjung aktif, sudah buat laporan katanya senin kemarin paling lambat sudah aktif kembali tapi sampe sekarang ga bisa juga. jadi susah transaksi bisnis ku. please lah cepetan udah 2 minggu dari laporan terbit padahal",https://pbs.twimg.com/profile_images/1699114302844928000/51nEuohb_normal.jpg,https://twitter.com/kataomiq/status/1752293996247028093,2024-01-30T11:33:39.000Z,8,2,1
nenez,@alissehun,"@mandiricare cek dm dong min,",https://pbs.twimg.com/profile_images/1582572882063810567/HE3jqXTB_normal.jpg,https://twitter.com/alissehun/status/1752287900841218124,2024-01-30T11:09:26.000Z,4,1,0
nenez,@alissehun,@mandiricare mim cek dm dong urgent,https://pbs.twimg.com/profile_images/1582572882063810567/HE3jqXTB_normal.jpg,https://twitter.com/alissehun/status/1752285738107023623,2024-01-30T11:00:50.000Z,5,1,1
nenez,@alissehun,cek dm dong min,https://pbs.twimg.com/profile_images/1582572882063810567/HE3jqXTB_normal.jpg,https://twitter.com/alissehun/status/1752285160840831224,2024-01-30T10:58:32.000Z,6,3,1
aiii love u (ig),@airaquale,@mandiricare min ada diskon tiket pesawat traveloka ga,https://pbs.twimg.com/profile_images/1727713528407347200/cHsB8jwq_normal.jpg,https://twitter.com/airaquale/status/1752282373033779625,2024-01-30T10:47:28.000Z,6,2,1
,@haechaniegirlfr,"@mandiricare min, td saya sudah narik uang di atm center Iconmall Gresik tp uangnya tidak keluar, namun saldo di livin mandiri saya berkurang. lalu setelah kartu saya keluar, mesin di atm nya tiba-tiba mati trs muncul sistem error gitu kak. bagaimana solusinya ya kak?",https://pbs.twimg.com/profile_images/1750655099775705088/638xsKLt_normal.jpg,https://twitter.com/haechaniegirlfr/status/1752278430106992863,2024-01-30T10:31:48.000Z,5,1,0
𝑎𝑧𝑢𝑙𝑎,@witteherten,@mandiricare cek dm ya min,https://pbs.twimg.com/profile_images/1748172985910145024/9ozZnNFT_normal.jpg,https://twitter.com/witteherten/status/1752277899263275087,2024-01-30T10:29:41.000Z,4,2,1
ฅ^•ﻌ•^ฅ,@tsukidayou,"@mandiricare sore, tolong cek dm ya",https://pbs.twimg.com/profile_images/1743640337107841024/NZG7pzu-_normal.jpg,https://twitter.com/tsukidayou/status/1752276098917048517,2024-01-30T10:22:32.000Z,7,2,1
,@abcdefuckyeuh,@mandiricare kartu bank aku kok belum sampe ya? padahal wilayah jakarta,https://pbs.twimg.com/profile_images/1733895351504154624/tgmig08G_normal.jpg,https://twitter.com/abcdefuckyeuh/status/1752275532832751883,2024-01-30T10:20:17.000Z,3,2,0
Nona Negara,@chrisayunn,"@mandiricare haloo, minggu lalu saya ada kirim kartu, apa bisa ditracking kartunya sudah sampai mana?",https://pbs.twimg.com/profile_images/1571173410788737025/zzf_ABlj_normal.jpg,https://twitter.com/chrisayunn/status/1752273870051267069,2024-01-30T10:13:40.000Z,5,3,1
Nico Baruna,@NicoBaruna,,https://pbs.twimg.com/profile_images/1657538545610018818/iWbg2m6O_normal.jpg,https://twitter.com/NicoBaruna/status/1752254750618276290,2024-01-30T08:57:42.000Z,12,3,1
Nico Baruna,@NicoBaruna,@mandiricare livin mandiri error kah?,https://pbs.twimg.com/profile_images/1657538545610018818/iWbg2m6O_normal.jpg,https://twitter.com/NicoBaruna/status/1752253994674913590,2024-01-30T08:54:42.000Z,12,6,1
Mandiri Care,@mandiricare,@rizqalita   Akun resmi Bank Mandiri bercentang emas (verified) yang terletak disisi kanan nama akun (centang emas tidak terdapat di dalam gambar profile picture/posisi lainnya). Tks~Azura (end),https://pbs.twimg.com/profile_images/1501039949264605187/__bKFZ_p_normal.jpg,https://twitter.com/mandiricare/status/1752246950353916402,2024-01-30T08:26:42.000Z,0,0,0
Mandiri Care,@mandiricare,@rizqalita  Mohon berhati-hati dan tidak memberikan data rahasia kepada pihak manapun yang mengatasnamakan Bank Mandiri. (2),https://pbs.twimg.com/profile_images/1501039949264605187/__bKFZ_p_normal.jpg,https://twitter.com/mandiricare/status/1752246930879762450,2024-01-30T08:26:38.000Z,1,0,0
